Longitude,Lattitude,Pixel,Scan
43.709461,-74.3660503,0,0
43.706559,-74.3659857,100,0
43.7036567,-74.365921,200,0
43.7007541,-74.3658563,300,0
43.6978514,-74.3657915,400,0
43.6949483,-74.3657267,500,0
43.6920451,-74.3656619,600,0
43.6891416,-74.365597,700,0
43.6862378,-74.365532,800,0
43.6833338,-74.365467,900,0
43.6804296,-74.365402,1000,0
43.6775251,-74.3653369,1100,0
43.6746204,-74.3652718,1200,0
43.6717154,-74.3652066,1300,0
43.6688102,-74.3651414,1400,0
43.6659047,-74.3650761,1500,0
43.662999,-74.3650108,1600,0
43.660093,-74.3649455,1700,0
43.6571868,-74.3648801,1800,0
43.6542804,-74.3648147,1900,0
43.6513737,-74.3647492,2000,0
43.6484668,-74.3646837,2100,0
43.6455596,-74.3646181,2200,0
43.6426522,-74.3645525,2300,0
43.6397445,-74.3644868,2400,0
43.6368366,-74.3644211,2500,0
43.6339284,-74.3643554,2600,0
43.63102,-74.3642896,2700,0
43.6281113,-74.3642238,2800,0
43.6252024,-74.3641579,2900,0
43.6222933,-74.364092,3000,0
43.6193839,-74.364026,3100,0
43.6164743,-74.36396,3200,0
43.6135644,-74.363894,3300,0
43.6106543,-74.3638279,3400,0
43.6077439,-74.3637617,3500,0
43.6048333,-74.3636955,3600,0
43.6019224,-74.3636293,3700,0
43.5990113,-74.363563,3800,0
43.5960999,-74.3634967,3900,0
43.5931883,-74.3634303,4000,0
43.5902765,-74.3633639,4100,0
43.5873644,-74.3632975,4200,0
43.5844521,-74.363231,4300,0
43.5815395,-74.3631644,4400,0
43.5786266,-74.3630978,4500,0
43.5757136,-74.3630312,4600,0
43.5728002,-74.3629645,4700,0
43.5698867,-74.3628978,4800,0
43.5669728,-74.362831,4900,0
43.5640588,-74.3627642,5000,0
43.5611445,-74.3626974,5100,0
43.5582299,-74.3626305,5200,0
43.5553151,-74.3625635,5300,0
43.5524,-74.3624965,5400,0
43.5494847,-74.3624295,5500,0
43.5465692,-74.3623624,5600,0
43.5436534,-74.3622953,5700,0
43.5407374,-74.3622281,5800,0
43.5378211,-74.3621609,5900,0
