pair_id,product_a,product_b,path_a,path_b,incidence_a_deg,incidence_b_deg,incidence_diff_deg
M1491239581LC__M1493601909LC,M1491239581LC,M1493601909LC,data/lro_nac\M1491239581LC.IMG,data/lro_nac\M1493601909LC.IMG,68.00778074,69.96562613,1.9578453900000028
M1517014680LC__M1527308253LC,M1517014680LC,M1527308253LC,data/lro_nac\M1517014680LC.IMG,data/lro_nac\M1527308253LC.IMG,73.49335627,75.62963253,2.1362762599999883
M1493601909LC__M1517014680LC,M1493601909LC,M1517014680LC,data/lro_nac\M1493601909LC.IMG,data/lro_nac\M1517014680LC.IMG,69.96562613,73.49335627,3.5277301400000027
M1491239581LC__M1517014680LC,M1491239581LC,M1517014680LC,data/lro_nac\M1491239581LC.IMG,data/lro_nac\M1517014680LC.IMG,68.00778074,73.49335627,5.4855755300000055
M1493601909LC__M1527308253LC,M1493601909LC,M1527308253LC,data/lro_nac\M1493601909LC.IMG,data/lro_nac\M1527308253LC.IMG,69.96562613,75.62963253,5.664006399999991
M1491239581LC__M1527308253LC,M1491239581LC,M1527308253LC,data/lro_nac\M1491239581LC.IMG,data/lro_nac\M1527308253LC.IMG,68.00778074,75.62963253,7.621851789999994
M1262183951LC__M1527308253LC,M1262183951LC,M1527308253LC,data/lro_nac\M1262183951LC.IMG,data/lro_nac\M1527308253LC.IMG,88.77327655,75.62963253,13.14364402000001
M1262183951LC__M1517014680LC,M1262183951LC,M1517014680LC,data/lro_nac\M1262183951LC.IMG,data/lro_nac\M1517014680LC.IMG,88.77327655,73.49335627,15.279920279999999
M1262183951LC__M1493601909LC,M1262183951LC,M1493601909LC,data/lro_nac\M1262183951LC.IMG,data/lro_nac\M1493601909LC.IMG,88.77327655,69.96562613,18.80765042
M1262183951LC__M1491239581LC,M1262183951LC,M1491239581LC,data/lro_nac\M1262183951LC.IMG,data/lro_nac\M1491239581LC.IMG,88.77327655,68.00778074,20.765495810000004
